time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1770123927.38408780,0.00442985,4714,0.00095465,0.00000000,0,0.00000000,1349,1931,834,0.00000000
1770123927.48423839,0.00543170,4683,0.00122451,0.00000000,0,0.00000000,1931,2207,593,0.00041599
1770123927.58419347,0.00533736,4603,0.00125976,0.00000000,0,0.00000000,2207,2311,491,0.00012902
1770123927.68409777,0.00936480,4682,0.00155406,0.00000000,0,0.00000000,2311,2475,390,0.00013551
1770123927.78407574,0.00501454,4646,0.00052885,0.00000000,0,0.00000000,2475,2578,316,0.00050580
1770123927.88418007,0.00434907,4656,0.00052204,0.00000000,0,0.00000000,2578,2639,335,0.00021909
1770123927.98411751,0.00377262,4645,0.00044690,0.00000000,0,0.00000000,2639,2653,254,0.00022329
1770123928.08422375,0.00587114,4666,0.00063019,0.00000000,0,0.00000000,2653,2764,254,0.00028298
1770123928.18417406,0.00364265,4635,0.00051684,0.00000000,0,0.00000000,2764,2683,231,0.00025753
1770123928.28413701,0.00561187,4652,0.00066941,0.00000000,0,0.00000000,2683,2756,224,0.00013974
1770123928.38404560,0.00490328,4670,0.00040165,0.00000000,0,0.00000000,2756,2847,209,0.00014736
1770123928.48416352,0.00367194,4669,0.00036184,0.00000000,0,0.00000000,2847,2901,207,0.00026799
1770123928.58406353,0.00350181,4695,0.00032409,0.00000000,0,0.00000000,2901,2892,154,0.00015134
1770123928.68413234,0.00481336,4716,0.00055955,0.00000000,0,0.00000000,2892,2841,176,0.00024591
1770123928.78416491,0.00337889,4647,0.00031515,0.00000000,0,0.00000000,2841,2859,170,0.00024769
1770123928.88408494,0.00453226,4676,0.00026953,0.00000000,0,0.00000000,2859,2948,144,0.00013575
1770123928.98423362,0.00372571,4645,0.00025692,0.00000000,0,0.00000000,2948,2943,129,0.00019041
1770123929.08415103,0.00370685,4703,0.00024214,0.00000000,0,0.00000000,2943,3000,119,0.00019614
1770123929.18410778,0.00563366,4736,0.00029421,0.00000000,0,0.00000000,3000,3063,127,0.00017785
1770123929.28422308,0.00352678,4691,0.00018483,0.00000000,0,0.00000000,3063,3138,113,0.00013909
1770123929.38419628,0.00329550,4704,0.00019337,0.00000000,0,0.00000000,3138,3105,99,0.00016481
